全场最高能：498:28	这把只能说技不如人了

其他高能：
 1:15 - 3:18	孙怎早	(啊啊啊,怎晚,孙)
 13:06 - 14:52	和胖哥的友谊吗	(咋,那,了)
 14:59 - 15:06		()
 15:40 - 16:57	最开始看孙子是7200现在回不去了	(比心,[,])
 23:35 - 29:12	那我换节点了[dog]	(啊啊啊,了,[)
 29:46 - 32:31	大主播不谢舰长了	(\,老板,技不如人)
 35:04 - 35:34	你开飞机去接他不就行[dog]	(你,牛批,能行)
 35:41 - 35:47		()
 37:39 - 39:09	就fayday	(是,你,可恶)
 39:14 - 40:15	在这都对上暗号了 还说没有isun	(在,7000,睡觉)
 41:49 - 43:45	人性图	(人性,小蓝,享受)
 47:13 - 47:15		()
 49:55 - 52:51	流鼻涕的赢了	(了,[,赢)
 54:40 - 56:09	流鼻涕的赢了	(蒙,？,的)
 56:50 - 58:08	被你自己丧的，叫你说 我赢了	(啊啊啊,对抗,天台)
 59:45 - 59:54	零糖赢了	(零糖,技,赢)
 61:11 - 61:38	蜥蜴也会走灯	(登,灯,会)
 63:02 - 63:05	像健康的答辩一样通畅	(通畅,答辩,健康)
 63:18 - 63:27	主播吃了多少德芙[哇]	(德芙,遥遥领先,多少)
 63:34 - 65:45	没卡比还不给汤小心系统不给你排流程的了[dog]	([,],同事)
 67:06 - 67:13	蒙的[哇]	(丝滑,遥遥领先,蒙)
 67:19 - 67:24		()
 67:56 - 68:00		()
 68:48 - 70:50	技不如人才喝不到[哇]	(吗,主播,？)
 71:43 - 74:00	你俩是不是节点跳到冰岛甜蜜双排了	(了,isun,你)
 76:48 - 76:59	-2命	(命,紫蝴蝶,-)




 78:02 - 79:57	倒闭了，牛车吧	(了,牛车,倒闭)
 82:04 - 83:23	然后[dog]	(哈哈哈,然后,[)
 86:20 - 86:34	体现在胖哥他的良性竞争，永远不会恶意组队	(雅阁,永远,竞争)
 88:51 - 89:05		()
 90:04 - 90:10		()
 91:00 - 91:42	跟胖哥排一块儿能赢吗	(8000,了,上)
 98:03 - 98:31	人家说白胖	(怎么,顺,暂停)
 104:31 - 105:22	我感觉小杰直播间不玩这游戏的还挺多的 你直播间大部分应该是玩这游戏的	(有点,直播间,小杰)
 110:43 - 111:19	二阶段我去	(哈哈哈,？,哈哈哈哈)
 113:29 - 114:52	话说孙孙有在打这种有中间旗的难图的时候不小心点重开过吗	(捂脸,？,[)
 120:22 - 120:49	直接下个胖哥的通关视频 把水印去了不就行了	(通关,水印,去)
 124:09 - 124:44	工会被主播切割了	(真人,互娱,小象)
 125:05 - 126:40	主播这么强吗一边故事会一边打这种图	(吗,一边,所以)
 129:07 - 130:01	现在36啊	(现在,过,啊)
 133:17 - 134:26	蒙的	(蒙,的,？)
 134:33 - 134:35		()
 137:11 - 139:32	那就只能去白胖直播间当爱牛了[哇]	(？,M4D,20U)
 140:48 - 140:57	蒙的	(蒙,的)
 142:31 - 142:45	对齐就下一关	(就,？,一关)
 144:06 - 144:12		()
 145:42 - 146:49	这个赞是你点的吗	(的,锁图,赞)
 148:33 - 149:31	大戾士	(
,大,哈哈哈哈)
 149:41 - 150:03	那个大蒙的怎么打的	(的,怎么,字符)
 151:21 - 154:18	这男朋友来日本陪我两年了 家里人让我把他卖了 凭什么啊	(-,\,大大)
 157:11 - 157:16		()




 157:37 - 157:49	竹子砍伐证到手能明白吗	(到手,竹子,单纯)
 157:59 - 158:19	主播金河田炸了吗这么诋毁同事[傲娇]	(金河田,了,诋毁)
 165:51 - 166:26	喜欢主播的话可以送礼物和舰长支持一下哦，舰长可进粉丝群体验十周年企划喵[比心]	(舰长,套,补水)
 173:39 - 173:47	要一波	(一波,不能,等)
 184:05 - 184:22		()
 188:43 - 190:07	喜欢主播的话可以送礼物和舰长支持一下哦，舰长可进粉丝群体验十周年企划喵[比心]	(蒙,的,么)
 190:34 - 190:59	哪个孙子没事儿玩这个啊	(没事儿,哪个,孙子)
 192:46 - 193:30	还有故事会吗，没有我睡了	(故事会,睡,九折)
 193:44 - 193:49		()
 195:15 - 195:36	好图	(好图,孙子,能)
 197:37 - 198:40	怕黑喜白	(怕黑,哈哈哈哈,舰长)
 199:25 - 201:30	胖哥NO.1	(哈哈哈,哈哈哈哈,雅阁)
 203:50 - 204:30	就这	(补给线,极限,不如)
 204:39 - 206:01	好图	(几个,跳,多卡)
 208:15 - 208:47	这个可以开局一帧跳吗	(听不懂,一帧,初代)
 208:56 - 209:26	饼~酱~	(～,~,怎)
 209:53 - 209:59		()
 210:23 - 212:06	有个爱牛先替你吃了就不用吃了	(吃,，,嘿嘿)
 213:20 - 215:18	少吃点🥺二高就可以了不要再多好吗	(问问,一下,~)
 218:39 - 219:16	所以其实是个选路图吗	(选路,吗,穷举法)
 224:10 - 225:57	那不梦回在鱼连播30来小时[dog]	(评论,dog,[)
 227:18 - 227:59	你只能看着你胖哥过，加纳	(过,你,知道)
