全场最高能：245:01	我刚来的 我不知道啥是走马灯 可以讲讲吗

其他高能：
 3:46 - 5:43	早捏	(啊啊啊,早,比心)
 5:56 - 5:59	走马灯	(走马灯)
 10:25 - 10:49	早上好[花]	(疯,钓鱼,杀)
 11:04 - 14:23	提前技不如人	(],[,比心)
 16:18 - 16:59	为什么不做成奖杯寄回去	(完美,Xbox,没鱼)
 19:22 - 20:15	技不如人x7	(技不如人,嘉宾,x7)
 20:56 - 23:21	原来如此，那也是早就被攻击了	(大哭,了,申请)
 23:29 - 23:56		(顶一下,传奇,能出)
 24:05 - 24:13		()
 28:04 - 31:13	哇啊啊啊啊啊啊啊啊啊啊	(了,666,灯顶)
 33:08 - 33:22		()
 39:00 - 39:54	[dog]有马蜂窝的趋势啊	(切,趋势,好)
 49:36 - 52:22	50%灯顶	(91,灯顶,！)
 52:30 - 58:09	洋次郎：马灯节是什么	(走马灯,马,？)
 58:18 - 58:24		()
 58:52 - 60:45	有没有智者告诉我为什么不玩多人了 最近才有开始看孙子	(-,],[)
 60:54 - 62:28	各位把免费的走马灯刷起来	(走马灯,？,了)
 64:21 - 64:35	看不清啦	(走马灯,看不清,啦)
 64:44 - 66:06	这就是你想上的8000吗	(不错,好运气,走马灯)
 66:13 - 66:23	茶茶丸早上好	(-,dameibi,B3G)
 67:01 - 71:01	说明打多人就不卡了	(走马灯,卡,🕯)
 74:57 - 75:08	全都是噪音	(会租,噪音,位置)
 75:40 - 76:08	这爱牛不会害了我吧	(对,的,了)
 78:51 - 79:04	这和你那张图没什么区别	(没什么,张图,宵夜)
 79:20 - 79:42	要噔楞噔楞	(。,噔,楞)
 80:27 - 81:14	贴墙下落会不会慢了	(吃,相,要脸)




 82:43 - 82:49	日本买小钢珠的机器好像要走法律途径的[鬼魂]，一般人买机器在家玩挺难哦	(麦早,机器,么)
 83:00 - 83:41	想象一下亲你的时候突然咳嗽还恶了一下[手机]	(麦早,一下,了)
 96:55 - 97:01	因为隔壁付费了	(付费,隔壁,因为)
 98:46 - 99:15	马上去买个机子	(走马灯,量子,机子)
 103:01 - 103:37	因为在这带节奏，为什么	(因为,蒙,道理)
 105:41 - 107:10	不就是蒙吗	(老板,么,大气)
 108:01 - 111:37	主播什么是走马灯	(可乐,了,百事)
 114:17 - 114:23	同事情深	(跑酷,深,事情)
 118:13 - 119:42	今天窜了一天，刚刚还昏过去了[傲娇]	(了,],[)
 137:18 - 137:34	节奏不如0vm	(0vm,节奏,不如)
 141:49 - 142:57	这图过不了了，放弃吧	(了,吧,过)
 143:14 - 143:40	太近了灯冷不行哒	(灯,愣,梦里)
 153:46 - 156:24	前面都是对的，旗杆这里有个技巧你不会[dog]	(],[,比心)
 156:36 - 156:46	加油啊 白白胖胖的大哥哥	(哥哥,白白胖胖,加油)
 156:52 - 157:09	加油啊 白白胖胖的大哥哥	(哥哥,白白胖胖,加油)
 159:03 - 159:32	哇好可惜	(丢,一,碰到)
 163:26 - 165:33	这都过不了，找个班上吧主播	(都,主播,，)
 171:30 - 171:47	灯哥一命过	(一命,灯哥,过)
 179:06 - 186:18	老板刷了这么多，就想听句谢谢都没有	(了,就,主播)
 187:21 - 187:59	[大哭][大哭][大哭]	(大哭,],[)
 193:42 - 193:56	那完了	(完,那,了)
 197:30 - 198:53	牛车节目效果挺好的吧	(牛车,登顶,冬瓜)




 201:01 - 201:37	我本身玩方块，所以我觉得马车更有意思	(我,hhhhh,不怎么)
 203:32 - 203:42	ztmex	(ztmex)
 203:49 - 206:32	松饼姐姐可以给主播禁言了吗	(],[,吗)
 206:51 - 207:13	你不知道去以六月息吗[花]	(外语,得学,息)
 207:20 - 209:04	来了，外卖图	(团灭,了,关)
 211:01 - 211:46	飞了吧	(吧,白胖,了)
 215:01 - 215:15		(？)
 216:03 - 216:05		()
 218:54 - 219:55	賣手柄的	(啊啊啊,手柄,图)
 221:19 - 221:38	你再想想	(气急败坏,符合,思考)
 221:50 - 222:49	主播打几把多人，一天的人数比三天多，剩下两天播牛车	(，,吗,主播)
 226:03 - 226:54	自重五百斤	(自重,晚上,人)
 229:12 - 229:32		(？)
 230:10 - 231:52	后两个方法是主播造谣的	(松饼,火箭,是)
 232:54 - 234:35	蒙的	(蒙,的,松饼)
 237:27 - 237:43	不是说四种吗还有一种刷火箭才教的隐藏方法吗	(吗,隐藏,四种)
 242:23 - 242:28	动N下吧	(N,往,动)
 243:59 - 246:12	我刚来的 我不知道啥是走马灯 可以讲讲吗	(我,了,的)
 249:51 - 250:11	主播是为了打压直播间里的奸商才不让卖电脑的	(的,来不及,根本)
 255:09 - 256:10	我也想吃	(。,藏,吃)
 257:29 - 258:36	这个直播间有十分之一的人不是云玩家吗	(机器,有,直播间)
 258:49 - 258:58	遭报应了吧[哇]	(遭报应,],[)
 259:05 - 259:52	补药占我的id啊	(饼,id,不好)
 262:16 - 263:53	你是假的	(的,意思,你)
 269:16 - 269:23	那咋了	(无牛,定语,或者)




 272:11 - 274:27	主播不珍惜松饼哪天我真走了[傲娇]	(],[,看)
 279:38 - 279:44	马灯节彩排	(爆爆牙,彩排,最)
 281:09 - 283:19	你给我开d个会员吧	(我,不点,你)
