全场最高能：87:43	蒙的，我没看见，再过一次】‘

其他高能：
 4:07 - 6:39	不好，飞	(卡,进门,他)
 7:12 - 8:22	蒙的	(666,HOW,？)
 11:04 - 12:46	饼饼早[比心]	(比心,],[)
 14:25 - 14:32	还是个tas图	(tas,还是,个)
 14:46 - 17:44	老板飞机锁图了	(么,老板,])
 17:52 - 18:02	老师好	(老师,好)
 18:16 - 19:37	我是沒打算睡啦[哇]	(愣,马灯,喝咖啡)
 24:56 - 25:44	這P就跟8000分一樣 主播追不上的[哇]	(主播,不,追不上)
 26:26 - 28:53	我感觉我一会不看就过了[傲娇]	(了,—,、)
 29:40 - 30:51	你得問隔壁中立主播[哇]	(中立,],[)
 31:36 - 32:12	胖早过	(x55555,🚀,test)
 32:35 - 33:12	能走8000圈马灯不	(数组,有记,人少)
 33:20 - 33:36	直播间有计数君了，还是机器人吗	(x1,175,开播)
 34:01 - 34:23	#查询主播利润	(这莫,179,奶油)
 34:34 - 35:05	8000命之内过离婚娶主播，主播送我DR再给我办个北京户口，最后把一合院...	(...,我,给)
 35:12 - 36:08	外卖可以点上了吗	(噔,楞,外卖)
 36:18 - 36:34	之前星链也掉链子，但最多五分钟就好了	(就,五分钟,链子)
 36:48 - 36:59	快过了 有没有感觉	(快过,有没有,感觉)
 37:10 - 37:20	暂停侠	(你,内必过,侠)
 38:02 - 38:23	胖哥来早就过了	(早就,睡着,了)
 38:37 - 39:26	胖哥早过了	(b,快,越)
 39:57 - 40:22	你等主播灯冷完这图马上给你走马灯	(这图,你,开挂)
 40:49 - 42:24	你马灯叔叔不走马灯都不习惯了	(加油,走马灯,林克)




 45:15 - 45:42	灯冷灯冷盆满钵满	(反噬,冷盆满,钵)
 45:49 - 46:18	灯冷灯冷盆满钵满	(找,因为,;)
 46:27 - 47:05	孙孙早上好	(早上好,饼,么)
 47:28 - 49:01	[dog]不暂停就进了	(了,？,许可证)
 53:33 - 54:05	人家用tas过的，你别试了	(。,过,不入)
 54:08 - 54:34	人家给胖哥刷飞机过的，你别试了[哇]	(],[,哇)
 56:35 - 56:41	悲悲的哀	(哀,悲悲,灯冷灯)
 58:17 - 59:15	今天的灯走了多少盏了	(灯冷灯,冷,，)
 59:45 - 59:56		()
 60:37 - 61:02	你缺一个许可证，找胖哥就能进门了	(码,缺,，)
 62:15 - 64:14	常年诋毁世界第一导致马造之神对你施加了裁决 这门你进不去的	(了,你,在)
 66:35 - 67:31	出去看一下踩P进门的相对位置	(进门,那个,看)
 70:29 - 71:11	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(登录,呢,了)
 75:36 - 77:00	主播天天就这样混日子，小心日子把你混没了[捂脸][捂脸]	(，,],[)
 77:03 - 77:10		(灯冷灯,冷,，)
 77:18 - 77:22	不暂停 不好对上	(不好,查询,暂停)
 81:14 - 84:49	主播我抢到bw的票了 能建议我出什么cos吗	(],[,是)
 86:53 - 89:20	蒙的，我没看见，再过一次】‘	(的,蒙,;)
 98:32 - 99:24	孙就爱这钻小缝啊[爱]	(了,胖哥,，)
 100:39 - 101:22	松饼在说啥，只能看见你充电消息	(九折,666,在)
 105:07 - 106:03	刚才p图过了吗	(💗,@,])
 108:56 - 109:17	放大镜调节	(非要,放大镜,调节)
 113:07 - 114:50	我没机器你就不讲了吗	(蒙,的,有)




 117:12 - 117:52	今天跟钻洞干上了	(要么,藏,钻洞)
 120:31 - 121:00	点外卖了	(好,专场,秒)
 125:18 - 125:30	fayday偷	(;,偷,蒙)
 131:08 - 132:00	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(1,第二个,在)
 138:52 - 139:19	蒙的	(。,蒙,的)
 142:58 - 143:09		()
 148:37 - 149:39	整天摆弄小人跳高，我孩子不写作业光看你	(你,光看,作业)
 152:10 - 153:31	还能这样死啊哈哈哈哈哈哈	(哈哈哈,;,死)
 154:36 - 157:22	胖哥在终点等你很久了	(了,],[)
 157:34 - 160:25	十年前胖哥就8000分了，现在你连上7000分都费劲	(十年,前,了)
