全场最高能：80:45	我是男的可以和你一起住吗

其他高能：
 2:48 - 3:41	寄了	(],[,比心)
 8:00 - 9:59	奶油松饼bot :走马灯	(怎晚,孙,，)
 10:07 - 12:27	昨天干上滑雪那图，最后到几点，过了吗	( ,ᰩ,╭)
 14:00 - 17:10	马车有意义	(意义,有,])
 18:27 - 21:23	昨天那个20秒滑雪的图过了吗	(],[,了)
 22:45 - 23:47	昨天滑到三点多后来过了	(了,热熔胶,昨天)
 24:27 - 24:54	讲了两个小时热熔胶	(爱喝,小时,豆汁)
 28:32 - 28:43	男人不能对不准	(视频,灯友会,置顶)
 34:26 - 35:16	昨天主播玩那个溜冰图戾气太大了 半夜睡着了被主播吵醒好几次	(],[,谢)
 35:59 - 36:05		()
 39:12 - 42:11	蒙的	(蒙,的,了)
 47:33 - 50:53	蒙的	(蒙,的,了)
 51:22 - 51:29	靠蒙	(蒙,题目,一排)
 52:19 - 55:02	这不还是概率问题吗，你要不是眉笔一次就进去了	(过,了,你)
 55:53 - 56:15	然后就教学事故了	(就,了,29)
 68:03 - 68:30	DR是电脑牌子吗	(DR,吗,是)
 71:17 - 74:25	说你妈是吧	(？,说,你)
 75:52 - 76:55	左转的红灯最难等啦啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊	(啊啊啊,啊,？)
 77:51 - 78:24	买DR了吗	(了,dr,吐)
 80:03 - 84:24	我是男的可以和你一起住吗	(啊啊啊,你,了)
 85:47 - 88:10	主播可以通宵直播，然后天亮了他走了你就可以睡了	(睡,了,你)
 131:01 - 132:08	卡上了会有一个加速	(卡上,会,了)
 134:44 - 137:03	蒙的	(的,，,蒙)
 139:02 - 139:18	查一丝丝	(别玩,一丝丝,查)




 139:58 - 140:05	你认错主播了	(认错,你,主播)
 140:12 - 141:36	这次没成	(认错,主播,])
 144:18 - 145:03	没有奇迹	(？,奇迹,卡上)
 146:56 - 147:57	加纳吧	(吧,？,3d)
 148:28 - 149:44	好几天没牛车了吧	(了,初心者,开播)
 150:05 - 150:28	能还一点花呗是一点[呲牙][好开心]	(一点,花,])
 150:50 - 154:02	主播主播我要在ios的bili给你开舰长[哇]	(主播,我,给)
 157:21 - 158:15	吕布的马	(吕布,貂蝉,的)
 159:37 - 161:24	蒙的	(灯冷灯,蒙,冷)
 163:20 - 167:29	你不看我不看她不就不发了吗	(你,看,不)
 167:36 - 167:45	昨天滑了三个小时	(滑,昨天,了)
 174:14 - 174:36	bug也是play的一环	(bug,我,美神)
 178:52 - 179:58	这也能走马灯	(走马灯,叔叔,啊)
 183:59 - 184:54	几个叔叔，三个对	(三个,对,，)
 185:51 - 185:58	两个，城堡里有奇诺比奥叔叔和库巴叔叔	(叔叔,城堡,库巴)
 186:25 - 186:58	说这个想起来那个妈妈买四个饼子家里三个小孩怎么分，有人答题说可以给妈妈一个	(三个,，,分别)
 199:11 - 200:09	是的，我想起来了，给这个字	(吃饭,给,的)
 200:54 - 203:04	哇哦，我的IO板比你的板子多一个热熔胶	(你,比,])
 214:10 - 215:32	好耶最喜欢开车了	(了,喜欢,最)
 221:43 - 222:20	老公嘬嘬[色][色][色]	(色,嘬,95%)
 226:21 - 226:47	就2人，我排到掉线了	(了,网卡,我排)
 226:49 - 227:31	我玩过只有三人的局 拿了第二扣了30分	(了,只有,卡)




 229:11 - 231:12	系统检测主播输的太惨，安排bot局 就1个活人对手	(9000,蓝龟鈿鈿鈿,三体)
 232:59 - 233:56	bot局登顶	(！,局,68)
 238:27 - 238:54	一会就该ztmex了	(蓝龟鈿鈿鈿,三体,！)
 242:03 - 244:29	三体蓝龟鈿鈿鈿	(三体,蓝龟鈿鈿鈿,！)
 245:22 - 245:28	不如蓝胖	(蓝胖,不如)
 250:13 - 253:31	那咋了	(那,],[)
 255:20 - 257:20	主播的行为和卡塔卡塔卡塔有什么区别[哇]	(他,！,55)
 257:58 - 258:33	ZMD车队的各位加油啊	(各位,ZMD,ID)
 259:12 - 259:42	不对啊  哪来的国服	(对,荣耀,门)
 260:15 - 260:23	最近的人，人换了一批吗[看]	(一批,人换,命令)
 266:44 - 268:07	胖哥寻你来了[哇]	(或,胖哥,你)
 278:36 - 280:36	是吗 这为什么这样	(这样,LOSE,死)
 287:50 - 289:06	等会一个闪电干趴，老八请走	(明白,闪电,打雷)
 290:36 - 292:31	74751来的	(的,了,74751)
 302:23 - 304:05	我来超你	(扔,我来,⚡)
 305:15 - 307:25	所以第一名自己扔蓝龟会发生什么	(！,么,登顶)
 309:31 - 310:54	啊，我的记忆还停留在去日本找那个女朋友呢[捂脸]	(停留,记忆,在)
 323:55 - 325:07	加纳[看]	(爱心,],[)

